filename,text
captcha_1.png,xn753
captcha_10.png,dpnwh
captcha_100.png,n7n22
captcha_11.png,3pwbp
captcha_12.png,ackap
captcha_13.png,8ymgd
captcha_14.png,m58y4
captcha_15.png,ef4gp
captcha_16.png,bgrar
captcha_17.png,2en6f
captcha_18.png,dm3cr
captcha_19.png,d2yw3
captcha_2.png,6yh3w
captcha_20.png,r38w8
captcha_21.png,wxfwh
captcha_22.png,333mb
captcha_23.png,f3wx5
captcha_24.png,47pr4
captcha_25.png,hf65e
captcha_26.png,kn6xy
captcha_27.png,5wh2n
captcha_28.png,hdxxm
captcha_29.png,k2peb
captcha_3.png,dceng
captcha_30.png,my8ng
captcha_31.png,r2ar4
captcha_32.png,k2hfk
captcha_33.png,7r4hk
captcha_34.png,cyb42
captcha_35.png,gmh2
captcha_36.png,r8pfp
captcha_37.png,hdkga
captcha_38.png,7fakk
captcha_39.png,n386k
captcha_4.png,bywpe
captcha_40.png,cd5b5
captcha_41.png,c7aeg
captcha_42.png,cdcg2
captcha_43.png,gn3mk
captcha_44.png,32r6y
captcha_45.png,n77ky
captcha_46.png,n5746
captcha_47.png,yc6k3
captcha_48.png,7yp5a
captcha_49.png,kbpy3
captcha_5.png,x26y3
captcha_50.png,None
captcha_51.png,ERROR
captcha_52.png,ERROR
captcha_53.png,ERROR
captcha_54.png,ERROR
captcha_55.png,ERROR
captcha_56.png,ERROR
captcha_57.png,ERROR
captcha_58.png,ERROR
captcha_59.png,ERROR
captcha_6.png,ERROR
captcha_60.png,ERROR
captcha_61.png,ERROR
captcha_62.png,ERROR
captcha_63.png,ERROR
captcha_64.png,ERROR
captcha_65.png,ERROR
captcha_66.png,ERROR
captcha_67.png,ERROR
captcha_68.png,ERROR
captcha_69.png,ERROR
captcha_7.png,ERROR
captcha_70.png,ERROR
captcha_71.png,ERROR
captcha_72.png,ERROR
captcha_73.png,ERROR
captcha_74.png,ERROR
captcha_75.png,ERROR
captcha_76.png,ERROR
captcha_77.png,ERROR
captcha_78.png,ERROR
captcha_79.png,ERROR
captcha_8.png,ERROR
captcha_80.png,ERROR
captcha_81.png,ERROR
captcha_82.png,ERROR
captcha_83.png,ERROR
captcha_84.png,ERROR
captcha_85.png,ERROR
captcha_86.png,ERROR
captcha_87.png,ERROR
captcha_88.png,ERROR
captcha_89.png,ERROR
captcha_9.png,ERROR
captcha_90.png,ERROR
captcha_91.png,ERROR
captcha_92.png,ERROR
captcha_93.png,ERROR
captcha_94.png,ERROR
captcha_95.png,ERROR
captcha_96.png,ERROR
captcha_97.png,ERROR
captcha_98.png,ERROR
captcha_99.png,ERROR
